kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Rangka akan bekerja sama dengan otot untuk melakukan gerakan.,Rangka akan bekerja sama dengan otot untutk melakukan gerakan.,IPA,Insertion Error
"Namun, tulang dan otot tidak dapat menghasilkan gerakan yang baik tanpa bantuan sendi.","Namun, tulang dan otot tidak dapat menghasilkant gerakan yang baik tanpa bantuan sendi.",IPA,Insertion Error
Sendi merupakan hubungan antara dua tulang yang memungkinkan terjadinya gerakan.,Sendi merupakan hubungan antara dua tulang yangt memungkinkan terjadinya gerakan.,IPA,Insertion Error
Di dalam tubuh kita terdapat berbagai jenis sendi seperti berikut.,Di dalam tubuh kita terdapat berbagai jenits sendi seperti berikut.,IPA,Insertion Error
"Namun, atlet senam lantai di atas dapat menggerakkan tubuhnya dengan lentur.","Namun, atlet senam lantai di atas dapatt menggerakkan tubuhnya dengan lentur.",IPA,Insertion Error
Secara umum rangka kepala (tengkorak) terdiri atas bagian depan dan bagian belakang.,Secara umum rangka kepala (tengkorak) terdiri atast bagian depan dan bagian belakang.,IPA,Insertion Error
"Rangka kepala bagian depan terdiri atas tulang dahi, tulang hidung, tulang pipi, tulang rahang atas, dan tulang rahang bawah.","Rangka kepala bagian depan terdiri atas tulatng dahi, tulang hidung, tulang pipi, tulang rahang atas, dan tulang rahang bawah.",IPA,Insertion Error
Tulang punggung bagian atas melekat pada tulang rusuk.,Tulang punggung bagian atas melekat pada tulatng rusuk.,IPA,Insertion Error
"Rangka tangan terdiri atas tulang lengan atas, tulang hasta, tulang pengumpil, tulang pergelangan tangan, tulang telapak tangan, dan tulang-tulang jari tangan.","Rangka tangan terdiri atast tulang lengan atas, tulang hasta, tulang pengumpil, tulang pergelangan tangan, tulang telapak tangan, dan tulang-tulang jari tangan.",IPA,Insertion Error
Tulang yang menyerupai pipa ini terdapat pada rangka lengan atas maupun tulang paha.,Tulang yang menyerupai pipa ini terdapat padat rangka lengan atas maupun tulang paha.,IPA,Insertion Error
"Sementara itu, tulang yang berukuran kecil disebut tulang pendek.","Sementara itu, tulang yang berukuran kecil disetbut tulang pendek.",IPA,Insertion Error
Tulang paha juga merupakan tulang terkuat yang menopang tubuh.,Tulang paha juga merupakan tulang terkuat yangt menopang tubuh.,IPA,Insertion Error
Rangka memberi bentuk yang khas pada tubuh manusia.,Rangka memberi bentuk yang khas pada tubuth manusia.,IPA,Insertion Error
"Dengan demikian, kita dapat membedakan setiap orang dari bentuk tubuhnya.","Dengan demikian, kita dapat membedakan setiap orantg dari bentuk tubuhnya.",IPA,Insertion Error
Misalnya ada orang yang bertubuh tinggi dan ada orang yang bertubuh pendek.,Misalnya ada orang yang bertubuh tinggi tdan ada orang yang bertubuh pendek.,IPA,Insertion Error
Tuhan menciptakan makhluk hidup dengan rangka yang berbeda-beda untuk membedakan makhluk ciptaan-nya.,Tuhan menciptakan makhluk hidup dengan rangka yangt berbeda-beda untuk membedakan makhluk ciptaan-nya.,IPA,Insertion Error
Manusia memiliki tulang duduk dan tulang kaki yang kuat.,Manusia memiliki tulang duduk dan tulang kakit yang kuat.,IPA,Insertion Error
Otot melekat pada rangka.,Otot melekat padat rangka.,IPA,Insertion Error
"Tanpa rangka, otot tidak mempunyai tempat melekat.","Tanpa rangka, otot tidak mempunyai tempat meletkat.",IPA,Insertion Error
Sendi pelana terdapat di antara tulang pangkal ibu jari tangan dan tulang pertama pergelangan tangan.,Sendi pelana terdapat di antara tulang pangtkal ibu jari tangan dan tulang pertama pergelangan tangan.,IPA,Insertion Error
Kamu dapat mengetahui letak dan arah pergerakan sendi peluru dengan menggerakkan lengan atas maupun daerah pangkal paha.,Kamu dapat mengetahui letak dan arah pergerakant sendi peluru dengan menggerakkan lengan atas maupun daerah pangkal paha.,IPA,Insertion Error
"Adanya sendi ini, kepala dapat bergerak berputar.","Adanya sendi ini, kepala dapat bergerak berputatr.",IPA,Insertion Error
Sendi geser hanya dapat melakukan sedikit gerakan.,Sendi geser hanya dapat melakukan sedikit geratkan.,IPA,Insertion Error
Telah dijelaskan bahwa tulang dapat mengalami kelainan.,Telah dijelaskan bahwa tulang dapat mengalami kelainatn.,IPA,Insertion Error
Penyakit ini menimbulkan rasa nyeri pada persendian dan disertai dengan pembengkakan sendi.,Penyakit ini menimbulkan rasa nyeri pada persendiant dan disertai dengan pembengkakan sendi.,IPA,Insertion Error
Penyakit ini disebabkan oleh kuman tuberkulosis (tbc).,Penyakit ini disebabkan oleh kuman tuberkulosis (ttbc).,IPA,Insertion Error
Itulah beberapa jenis gangguan dan penyakit pada tulang.,Itulah beberapa jenis gangguan dan penyakit padat tulang.,IPA,Insertion Error
"Agar terhindar dari gangguan dan penyakit tersebut, kita harus merawat rangka.","Agar terhindar dari gangguan dan penyakit tersebutt, kita harus merawat rangka.",IPA,Insertion Error
Jangan tidur tengkurap karena akan mengganggu rangka dan juga pernapasanmu.,Jangan tidur tengkurap karena akan mengganggu rangtka dan juga pernapasanmu.,IPA,Insertion Error
"Makanan yang mengandung vitamin d antara lain susu, ikan, dan kuning telur.","Makanan yang mengandung vitamin d antara laint susu, ikan, dan kuning telur.",IPA,Insertion Error
"Fosfor terdapat pada jagung, kacang-kacangan, dan ikan.","Fosfor terdapat pada jagung, kacang-kacangan, dan ikant.",IPA,Insertion Error
Berolahraga paling baik dilakukan pada waktu pagi hari.,Berolahraga paling baik dilakukan pada waktu pagit hari.,IPA,Insertion Error
Sendi merupakan hubungan antara dua tulang yang memungkinkan terjadinya gerak.,Sendi merupakan hubungan antara dua tulang yangt memungkinkan terjadinya gerak.,IPA,Insertion Error
"Kamu dapat melihat film-film kartun seperti donal bebek, dora, atau naruto.","Kamu dapat melihat film-film kartun seperti donatl bebek, dora, atau naruto.",IPA,Insertion Error
Semua itu karena kamu mempunyai mata dan telinga.,Semua itu karena kamu mempunyai mata tdan telinga.,IPA,Insertion Error
Mata dan telinga termasuk alat indra kita.,Mata dan telinga termasuk alat indra kitat.,IPA,Insertion Error
Kita bisa mendengar suara-suara di sekitar menggunakan telinga.,Kita bisa mendengar suara-suara di sekitar menggunakatn telinga.,IPA,Insertion Error
"Selain mata dan telinga, terdapat alat-alat indra yang lainnya.","Selain mata dan telinga, terdapat alat-alat indrta yang lainnya.",IPA,Insertion Error
Manusia mempunyai lima alat indra sehingga sering disebut sebagai pancaindra.,Manusia mempunyai lima alat indra sehingga seritng disebut sebagai pancaindra.,IPA,Insertion Error
"Oleh karena itu, kornea dapat ditembus cahaya.","Oleh karena itu, kornea dapat ditembus cahatya.",IPA,Insertion Error
"Iris ada yang berwarna cokelat, hitam, atau abu-abu.","Iris ada yang berwarna cokelat, hitam, ataut abu-abu.",IPA,Insertion Error
Selaput jala (retina) merupakan lapisan terdalam dari dinding bola mata.,Selaput jala (retina) merupakan lapisan terdalam darit dinding bola mata.,IPA,Insertion Error
Retina mengandung sel-sel saraf penglihat.,Retina mengandung sel-sel saoraf penglihat.,IPA,Insertion Error
Bagian retina yang sangat peka terhadap cahaya disebut bintik kuning.,Bagian retina yang sangat peka terhadap cahatya disebut bintik kuning.,IPA,Insertion Error
Cahaya pantul ini akan masuk mata melalui kornea.,Cahaya pantul ini akan masuk mata melatlui kornea.,IPA,Insertion Error
"Selanjutnya, cahaya melewati pupil, kemudian masuk lensa mata.","Selanjutnya, cahaya melewati pupil, kemudian masuk lensta mata.",IPA,Insertion Error
"Telinga luar terdiri atas daun telinga, lubang telinga, liang pendengaran, dan gendang telinga.","Telinga luar terdiri atas daun telinga, lubatng telinga, liang pendengaran, dan gendang telinga.",IPA,Insertion Error
Bagian-bagian telinga luar ini berfungsi untuk menangkap dan mengumpulkan gelombang bunyi.,Bagian-bagian telinga luar ini berfungsi untuk menangktap dan mengumpulkan gelombang bunyi.,IPA,Insertion Error
"Di dalam rongga tersebut terdapat tiga tulang pendengaran yaitu tulang martil, tulang landasan, dan tulang sanggurdi.","Di dalam rongga tersebut terdapat tiga tulatng pendengaran yaitu tulang martil, tulang landasan, dan tulang sanggurdi.",IPA,Insertion Error
Getaran ini juga mengakibatkan tingkap bundar bergetar keluar masuk untuk meredam pantulan.,Getaran ini juga mengakibatkan tingkap bundar bergetatr keluar masuk untuk meredam pantulan.,IPA,Insertion Error
Saraf pendengaran akan mengirimkan informasi ke otak.,Saraf pendengaran akan mengirimkan informasi ke otakt.,IPA,Insertion Error
Ujung-ujung saraf pembau berfungsi mendeteksi zat kimia yang ada dalam udara pernapasan.,Ujung-ujung saraf pembau berfungsi mendeteksi zat kimita yang ada dalam udara pernapasan.,IPA,Insertion Error
Ujung-ujung saraf pembau bergabung dengan pembuluh pencium yang berada di belakang rongga hidung.,Ujung-ujung saraf pembau bergabung dengan pembuluh penctium yang berada di belakang rongga hidung.,IPA,Insertion Error
"Selanjutnya, rangsang bau uap ini diterima oleh ujung-ujung saraf pembau.","Selanjutnya, rangsang bau uap ini diterima oleht ujung-ujung saraf pembau.",IPA,Insertion Error
Lidah dapat merasakan berbagai macam rasa makanan dan minuman.,Lidah dapat merasakan berbagai macam rasa makatnan dan minuman.,IPA,Insertion Error
Pada celah dan lekukan papila terdapat kuncup pengecap atau kuncup rasa.,Pada celah dan lekukan papila terdapat kunctup pengecap atau kuncup rasa.,IPA,Insertion Error
Kuncup rasa merupakan kumpulan ujung saraf pengecap.,Kuncup rasa merupakan kumpulan ujung saraf pengecatp.,IPA,Insertion Error
Bagian lidah tertentu peka terhadap suatu jenis rasa.,Bagian lidah tertentu peka terhadap suatu jenits rasa.,IPA,Insertion Error
"Makanan atau minuman yang sudah menjadi larutan, di dalam mulut akan merangsang ujung-ujung saraf pengecap.","Makanan atau minuman yang sudah menjadi laruttan, di dalam mulut akan merangsang ujung-ujung saraf pengecap.",IPA,Insertion Error
"Selanjutnya, otak menanggapi rangsang tersebut.","Selanjutnya, otak menanggapi rangsanog tersebut.",IPA,Insertion Error
"Kita dapat merasakan adanya sentuhan, rasa nyeri, dingin, panas, dan kasar-halus dengan menggunakan kulit.","Kita dapat merasakan adanya sentuhan, rasa nyerti, dingin, panas, dan kasar-halus dengan menggunakan kulit.",IPA,Insertion Error
Lapisan luar tersusun atas kulit ari dan lapisan malpighi.,Lapisan luar tersusun atas kulit ari tdan lapisan malpighi.,IPA,Insertion Error
"Pada lapisan ini terdapat saluran keringat, kepekaan kulit lubang kulit atau pori-pori, dan rambut.","Pada lapisan ini terdapat saluran keringat, kepekaatn kulit lubang kulit atau pori-pori, dan rambut.",IPA,Insertion Error
Kulit ari merupakan lapisan kulit terluar.,Kulit ari merupakan laopisan kulit terluar.,IPA,Insertion Error
Kulit ari tersusun atas sel-sel mati yang selalu mengelupas.,Kulit ari tersusun atas sel-sel mati yangt selalu mengelupas.,IPA,Insertion Error
"Jika sel-sel ini mengelupas, sel segera diganti dengan sel-sel terluar dari lapisan malpighi yang telah mati.","Jika sel-sel ini mengelupas, sel segera digatnti dengan sel-sel terluar dari lapisan malpighi yang telah mati.",IPA,Insertion Error
Kulit ari berfungsi mencegah masuknya bibit-bibit penyakit ke dalam tubuh.,Kulit ari berfungsi mencegah masuknya bibit-bibit penyakitt ke dalam tubuh.,IPA,Insertion Error
Lapisan ini tersusun atas sel-sel yang aktif membelah diri.,Lapisan ini tersusun atas sel-sel yang aktitf membelah diri.,IPA,Insertion Error
Di sebelah dalam lapisan luar terdapat kulit jangat.,Di sebelah dalam lapisan luar terdapat kulitt jangat.,IPA,Insertion Error
"Pada lapisan ini terdapat kelenjar keringat, kelenjar minyak, otot penggerak rambut, dan akar rambut.","Pada lapisan ini terdapat kelenjatr keringat, kelenjar minyak, otot penggerak rambut, dan akar rambut.",IPA,Insertion Error
Lapisan dalam dari kulit berupa lapisan berlemak.,Lapisan dalam dari kulit berupa lapisan berlematk.,IPA,Insertion Error
Lapisan ini mengandung banyak jaringan lemak.,Lapisan ini mengandung baonyak jaringan lemak.,IPA,Insertion Error
"Sebagai indra peraba, kulit dapat menanggapi rangsang.","Sebagai indra peraba, kulit dapat menanggapi rangsantg.",IPA,Insertion Error
"Ketika kulit menerima rangsang, rangsang tersebut diterima oleh ujung-ujung saraf peraba.","Ketika kulit menerima rangsang, rangsang tersebut diterimta oleh ujung-ujung saraf peraba.",IPA,Insertion Error
"Oleh otak, rangsang tersebut diolah sehingga kita merasakan adanya suatu rangsang.","Oleh otak, rangsang tersebut diolah sehingga kitat merasakan adanya suatu rangsang.",IPA,Insertion Error
Alat-alat indra kita juga dapat mengalami berbagai macam gangguan dan penyakit.,Alat-alat indra kita juga dapat mengalami berbagati macam gangguan dan penyakit.,IPA,Insertion Error
"Oleh karena itu, kita wajib menjaga dan merawat alat-alat indra kita agar terhindar dari penyakit.","Oleh karena itu, kita wajib menjaga tdan merawat alat-alat indra kita agar terhindar dari penyakit.",IPA,Insertion Error
Pada subbab ini kita akan membahas berbagai macam gangguan dan penyakit yang dapat menyerang alat-alat indra kita.,Pada subbab ini kita akan membahas berbagati macam gangguan dan penyakit yang dapat menyerang alat-alat indra kita.,IPA,Insertion Error
"Selain itu, juga akan dipaparkan cara merawat kesehatan alat-alat indra kita.","Selain itu, juga akan dipaparkan cara meratwat kesehatan alat-alat indra kita.",IPA,Insertion Error
Penderita hipermetropi (mata plus) tidak dapat melihat benda-benda yang jaraknya dekat.,Penderita hipermetropi (mata plus) tidak dapat melithat benda-benda yang jaraknya dekat.,IPA,Insertion Error
"Juling, yaitu kelainan mata karena kerja otot mata kiri dan otot mata kanan tidak serasi.","Juling, yaitu kelainan mata karena kerja otott mata kiri dan otot mata kanan tidak serasi.",IPA,Insertion Error
Katarak yaitu pengapuran pada permukaan lensa mata sehingga lensa mata menjadi keruh.,Katarak yaitu pengapuran pada permukaan lensa matat sehingga lensa mata menjadi keruh.,IPA,Insertion Error
Gangguan dan penyakit mata dapat menyerang siapa saja.,Gangguan dan penyakit mata dapat menyerang siapta saja.,IPA,Insertion Error
"Ingat, kamu hanya boleh membersihkan bagian luar telinga.","Ingat, kamu hanya boleh membersihkan bagian luart telinga.",IPA,Insertion Error
Gangguan seperti ini biasanya karena kebiasaan mencabuti rambut-rambut hidung.,Gangguan seperti ini biasanya karena kebiasaan mencabutti rambut-rambut hidung.,IPA,Insertion Error
"Selain itu, lidah juga dapat terkena sariawan.","Selain itu, lidah juga dapat terkena sariawatn.",IPA,Insertion Error
"Gangguan atau penyakit yang menyerang kulit biasanya disebabkan dari jamur, seperti panu, kadas, dan kurap.","Gangguan atau penyakit yang menyerang kulit biasanyta disebabkan dari jamur, seperti panu, kadas, dan kurap.",IPA,Insertion Error
Jamur melekat di kulit bersama kotoran.,Jamur melekat di kuolit bersama kotoran.,IPA,Insertion Error
"Oleh karena itu, kamu harus selalu menjaga kebersihan kulit.","Oleh karena itu, kamu harus selalu menjtaga kebersihan kulit.",IPA,Insertion Error
Kamu telah mempelajari alat-alat indra.,Kamu telah mempelajari alat-aloat indra.,IPA,Insertion Error
Ujilah pemahamanmu dengan menjodohkan gambar alat-alat indra dengan fungsi dan kelainannya.,Ujilah pemahamanmu dengan menjodohkan gambar alat-alat indrta dengan fungsi dan kelainannya.,IPA,Insertion Error
Coba kamu amati gambar tumbuhan di atas.,Coba kamu amati gambar tumbuhan di atast.,IPA,Insertion Error
Sebutkan satu per satu bagian dari tumbuhan tersebut.,Sebutkan satu per satu bagian dari tumbuhatn tersebut.,IPA,Insertion Error
"Tubuh tumbuhan tersusun atas akar, batang, daun, bunga, buah, dan biji.","Tubuh tumbuhan tersusun atas akar, batang, daunt, bunga, buah, dan biji.",IPA,Insertion Error
Setiap bagian tersebut memiliki fungsi tertentu.,Setiap bagian tersebut memilikoi fungsi tertentu.,IPA,Insertion Error
"Oleh karena itu, sudah semestinya manusia bersyukur kepada tuhan yang maha esa.","Oleh karena itu, sudah semestinya manusia bersyuktur kepada tuhan yang maha esa.",IPA,Insertion Error
Manusia dapat memanfaatkan bagian-bagian tumbuhan tersebut untuk memenuhi kebutuhannya.,Manusia dapat memanfaatkan bagian-bagian tumbuhan tersebut untutk memenuhi kebutuhannya.,IPA,Insertion Error
Setiap bagian tersebut mempunyai fungsi tertentu.,Setiap bagian tersebut mempunyoai fungsi tertentu.,IPA,Insertion Error
Akar tumbuh menghujam ke dalam tanah.,Akar tumbuh menghujam keo dalam tanah.,IPA,Insertion Error
Akar tersusun atas rambut akar dan tudung akar.,Akar tersusun atas rambut akar dan tudutng akar.,IPA,Insertion Error
Akar tunggang memiliki akar pokok yang tumbuh memanjang.,Akar tunggang memiliki akar pokok yang tumbtuh memanjang.,IPA,Insertion Error
Pada akar pokok terdapat akar lateral (samping) yang tumbuh ke samping.,Pada akar pokok terdapat akar lateral (sampting) yang tumbuh ke samping.,IPA,Insertion Error
Akar lateral merupakan cabang-cabang dari akar pokok.,Akar lateral merupakan cabang-cabang dari akar pokotk.,IPA,Insertion Error
Akar serabut membentuk kumpulan seperti serabut-serabut tipis.,Akar serabut membentuk kumpulan seperti serabut-serabut tipits.,IPA,Insertion Error
Pada akar serabut tidak terdapat akar pokok yang tumbuh memanjang.,Pada akar serabut tidak terdapat akar pokotk yang tumbuh memanjang.,IPA,Insertion Error
"Selain itu, akar juga berfungsi menopang tumbuhan agar tidak roboh.","Selain itu, akar juga berfungsi menopang tumbuhatn agar tidak roboh.",IPA,Insertion Error
Beberapa akar tumbuhan dapat dimanfaatkan untuk bahan makanan dan obat-obatan.,Beberapa akar tumbuhan dapat dimanfaatkan untuk bahatn makanan dan obat-obatan.,IPA,Insertion Error
"Namun, bila telah mencapai tanah, akar tersebut masuk ke dalam tanah dan berfungsi menyerap air dan garam-garam mineral.","Namun, bila telah mencapai tanah, akar tersebutt masuk ke dalam tanah dan berfungsi menyerap air dan garam-garam mineral.",IPA,Insertion Error
Akar napas tumbuh keluar dari batang bagian bawah.,Akar napas tumbuh keluar dari batang bagitan bawah.,IPA,Insertion Error
Akar ini terlihat seperti menopang tegaknya batang.,Akar ini terlihat seperti menopang tegaknya batatng.,IPA,Insertion Error
Akar ini berfungsi untuk melekatkan batang pada tembok maupun tumbuhan lain.,Akar ini berfungsi untuk melekatkan batang padat tembok maupun tumbuhan lain.,IPA,Insertion Error
Batang merupakan bagian utama tumbuhan yang berada di atas permukaan tanah.,Batang merupakan bagian utama tumbuhan yang beratda di atas permukaan tanah.,IPA,Insertion Error
"Menurut jenisnya, batang dapat dikelompokkan menjadi batang basah, batang rumput, dan batang berkayu.","Menurut jenisnya, batatng dapat dikelompokkan menjadi batang basah, batang rumput, dan batang berkayu.",IPA,Insertion Error
Batang ini mempunyai ruas-ruas yang nyata dan berongga.,Batang ini mempunyai ruas-ruas yang nyata tdan berongga.,IPA,Insertion Error
Kambium merupakan bagian batang yang selalu tumbuh.,Kambium merupakan bagian batang yang selalu tumbtuh.,IPA,Insertion Error
Pertumbuhan kambium ke arah dalam membentuk kayu dan ke arah luar membentuk kulit.,Pertumbuhan kambium ke arah dalam membentuk kayut dan ke arah luar membentuk kulit.,IPA,Insertion Error
Batang berkambium hanya dimiliki oleh tumbuhan dikotil.,Batang berkambium hanya dimiliki oleh tumbuhan dikottil.,IPA,Insertion Error
"Contoh tumbuhan monokotil yaitu kelapa, padi, dan jagung.","Contoh tumbuhan monokotil yaitu kelapa, padi, tdan jagung.",IPA,Insertion Error
Fungsi batang untuk menopang tumbuhan.,Fungsi batang untuk menopanog tumbuhan.,IPA,Insertion Error
Batang juga merupakan tempat berlangsungnya proses pengangkutan air dan zat hara dari akar ke daun.,Batang juga merupakan tempat berlangsungnya proses pengangkutant air dan zat hara dari akar ke daun.,IPA,Insertion Error
"Pada beberapa tumbuhan misalnya tebu dan sagu, batangnya berguna sebagai tempat menyimpan makanan cadangan.","Pada beberapa tumbuhan misalnya tebu dan sagut, batangnya berguna sebagai tempat menyimpan makanan cadangan.",IPA,Insertion Error
Kamu bisa menanam kembali tumbuhan pacar air ini setelah kamu gunakan praktikum.,Kamu bisa menanam kembali tumbuhan pacar tair ini setelah kamu gunakan praktikum.,IPA,Insertion Error
Tidak semua tumbuhan mempunyai pelepah daun.,Tidak semua tumbuhan mempunyoai pelepah daun.,IPA,Insertion Error
Bunga ditopang oleh tangkai bunga.,Bunga ditopang oleh taongkai bunga.,IPA,Insertion Error
Kelopak bunga ini berguna sebagai pelindung.,Kelopak bunga ini beorguna sebagai pelindung.,IPA,Insertion Error
"Sementara itu, kuncup bunga tumbuh dari dasar bunga.","Sementara itu, kuncup bunga tumbuh dari dasatr bunga.",IPA,Insertion Error
Bentuk dan warna mahkota yang bermacam-macam digunakan untuk menarik serangga.,Bentuk dan warna mahkota yang bermacam-macam digunaktan untuk menarik serangga.,IPA,Insertion Error
Benang sari merupakan alat kelamin jantan.,Benang sari merupakan aloat kelamin jantan.,IPA,Insertion Error
Benang sari terdiri atas kepala sari dan tangkai sari.,Benang sari terdiri atas kepala sari tdan tangkai sari.,IPA,Insertion Error
Pada kepala sari terdapat serbuk sari.,Pada kepala sari terdapaot serbuk sari.,IPA,Insertion Error
Daun ini untuk mengobati penyakit batu ginjal.,Daun ini untuk mengobati penyakit batu ginjtal.,IPA,Insertion Error
Akar tersusun dari rambut akar dan tudung akar.,Akar tersusun dari rambut akar dan tudutng akar.,IPA,Insertion Error
Bentuk akar terdiri atas akar tunggang dan serabut.,Bentuk akar terdiri atas akar tunggang tdan serabut.,IPA,Insertion Error
"Berdasarkan jenisnya, batang dikelompokkan menjadi batang lunak, batang rumput, dan batang berkayu.","Berdasarkan jenisnya, batang dikelompokkan menjadi batang lunatk, batang rumput, dan batang berkayu.",IPA,Insertion Error
Batang berfungsi sebagai tempat berlangsungnya pengangkutan air dan zat hara dari akar ke daun.,Batang berfungsi sebagai tempat berlangsungnya pengangkutan tair dan zat hara dari akar ke daun.,IPA,Insertion Error
"Bunga tersusun dari tangkai bunga, dasar bunga, mahkota bunga, benang sari, dan putik.","Bunga tersusun dari tangkai bungta, dasar bunga, mahkota bunga, benang sari, dan putik.",IPA,Insertion Error
Singa itu makan hewan buruannya dengan lahap karena cocok dengan jenis makanannya.,Singa itu makan hewan buruannya dengan lahatp karena cocok dengan jenis makanannya.,IPA,Insertion Error
Pada gambar di depan menunjukkan singa beserta makanannya.,Pada gambar di depan menunjukkan singa besetrta makanannya.,IPA,Insertion Error
Tentu kamu sudah tahu jenis makanan hewan tersebut.,Tentu kamu sudah tahu jenis makanan hewatn tersebut.,IPA,Insertion Error
"Namun, pada dasarnya makanan itu berasal dari tumbuhan atau hewan lainnya.","Namun, pada dasarnya makanan itu berasal darit tumbuhan atau hewan lainnya.",IPA,Insertion Error
Hewan-hewan itu biasanya memakan daun-daunan.,Hewan-hewan itu biasanya meomakan daun-daunan.,IPA,Insertion Error
"Hewan yang sering memakan dedaunan antara lain ulat, belalang, dan kumbang.","Hewan yang sering memakan dedaunan antara laint ulat, belalang, dan kumbang.",IPA,Insertion Error
"Bagian tumbuhan lainnya yang menjadi makanan hewan, misalnya buah-buahan dan biji-bijian.","Bagian tumbuhan lainnya yang menjadi makanan hewatn, misalnya buah-buahan dan biji-bijian.",IPA,Insertion Error
Contoh hewan yang memakan buah-buahan yaitu burung nuri dan burung kakatua.,Contoh hewan yang memakan buah-buahan yaitu burutng nuri dan burung kakatua.,IPA,Insertion Error
Cicak dan katak mempunyai lidah panjang.,Cicak dan katak mempunyoai lidah panjang.,IPA,Insertion Error
Lidah itu dapat dijulurkan untuk menangkap serangga kecil yang ada di sekelilingnya.,Lidah itu dapat dijulurkan untuk menangkap seranggta kecil yang ada di sekelilingnya.,IPA,Insertion Error
Ada juga hewan yang memakan hewan lain yang ukurannya lebih besar dari serangga contohnya harimau.,Ada juga hewan yang memakan hewan laint yang ukurannya lebih besar dari serangga contohnya harimau.,IPA,Insertion Error
Makanan harimau yaitu hewan-hewan pemakan tumbuhan.,Makanan harimau yaitu hewan-hewaon pemakan tumbuhan.,IPA,Insertion Error
"Contohnya kijang, rusa, dan zebra.","Contohnya kijang, rusa, daon zebra.",IPA,Insertion Error
Kamu telah memiliki data tentang beberapa jenis makanan hewan dan asalnya.,Kamu telah memiliki data tentang beberapa jenits makanan hewan dan asalnya.,IPA,Insertion Error
Herbivora merupakan kelompok hewan yang makanannya hanya bersumber dari tumbuhan.,Herbivora merupakan kelompok hewan yang makanannya hanyta bersumber dari tumbuhan.,IPA,Insertion Error
Tumbuh-tumbuhan yang dimaksud dapat berupa rumput atau bagian tubuh dari tumbuhan tertentu.,Tumbuh-tumbuhan yang dimaksud dapat berupa rumput ataut bagian tubuh dari tumbuhan tertentu.,IPA,Insertion Error
"Burung yang tergolong karnivora mempunyai paruh yang kuat serta kuku yang kokoh dan tajam, contohnya burung elang.","Burung yangt tergolong karnivora mempunyai paruh yang kuat serta kuku yang kokoh dan tajam, contohnya burung elang.",IPA,Insertion Error
Kuku yang kokoh dan tajam digunakan untuk menangkap dan mencengkeram mangsanya.,Kuku yang kokoh dan tajam digunakan untutk menangkap dan mencengkeram mangsanya.,IPA,Insertion Error
"Ada beberapa jenis hewan karnivora yang menjadi pemakan serangga, contohnya laba-laba dan kalajengking.","Ada beberapa jenis hewan karnivora yang menjtadi pemakan serangga, contohnya laba-laba dan kalajengking.",IPA,Insertion Error
Hewan yang makanannya bersumber dari tumbuhan dan hewan lain digolongkan dalam omnivora.,Hewan yang makanannya bersumber dari tumbuhan tdan hewan lain digolongkan dalam omnivora.,IPA,Insertion Error
"Berdasarkan jenis makanannya, hewan dikelompokkan menjadi tiga yaitu herbivora, karnivora, dan omnivora.","Berdasarkan jenis makanannya, hewan dikelompokkan menjadi tigat yaitu herbivora, karnivora, dan omnivora.",IPA,Insertion Error
"Ada hewan yang berukuran kecil, sedang, dan ada yang besar.","Ada hewan yang berukuran kecil, setdang, dan ada yang besar.",IPA,Insertion Error
Laporan tugas proyek yang dikumpulkan berupa kliping.,Laporan tugas proyek yang dikumpulkan berupa klipting.,IPA,Insertion Error
"Pada musim kemarau, rumput sulit ditemukan.","Pada musim kemarau, ruomput sulit ditemukan.",IPA,Insertion Error
Kucing tergolong karnivora.,Kucing tergolong karnivotra.,IPA,Insertion Error
"Namun, andi belum tahu jenis makanan burung tersebut.","Namun, andi belum tahu jenis makanan burutng tersebut.",IPA,Insertion Error
"Andi membeli biji padi, ikan segar, daun segar, dan biji jagung yang sudah digiling.","Andi membeli biji padi, ikan segar, daunt segar, dan biji jagung yang sudah digiling.",IPA,Insertion Error
Ulat merupakan salah satu hama yang merugikan petani.,Ulat merupakan salah satu hama yang merugiktan petani.,IPA,Insertion Error
"Namun, jangan khawatir mengenai ulat-ulat itu.","Namun, jangan khawatir mengenaoi ulat-ulat itu.",IPA,Insertion Error
Setiap hewan mengalami daur hidup.,Setiap hewan mengalami daour hidup.,IPA,Insertion Error
Setiap hewan memiliki tahapan daur hidup yang berbeda-beda.,Setiap hewan memiliki tahapan daur hidup yangt berbeda-beda.,IPA,Insertion Error
Rambutnya juga masih halus.,Rambutnya juga masith halus.,IPA,Insertion Error
Kian hari anak kucing tumbuh menjadi besar.,Kian hari anak kucing tumbuh menjadi besatr.,IPA,Insertion Error
Ukuran tubuhnya menjadi besar.,Ukuran tubuhnya menjtadi besar.,IPA,Insertion Error
Metamorfosis adalah perubahan bentuk pada makhluk hidup semasa hidupnya.,Metamorfosis adalah perubahan bentuk pada makhluk hidutp semasa hidupnya.,IPA,Insertion Error
"Akan tetapi, ada pula hewan yang metamorfosisnya tidak sempurna.","Akan tetapi, ada pula hewan yang metamorfosistnya tidak sempurna.",IPA,Insertion Error
Bentuk tubuh hewan muda yang mengalami metamorfosis sempurna berbeda dengan bentuk dewasanya (imago).,Bentuk tubuh hewan muda yang mengalami metamorfosist sempurna berbeda dengan bentuk dewasanya (imago).,IPA,Insertion Error
