kalimat_awal,kalimat_salah,Pelajaran,tipe_kesalahan
Di manakah letakjudul peta?,Di manakah letakjudul peta',IPS,Punctuation Error
"Apabila kamu membuka peta, judul peta diletakkan paling atas.",Apabila kamu membuka peta@ judul peta diletakkan paling atas.,IPS,Punctuation Error
Judul peta ditulis dengan huruf besar/kapital.,Judul peta ditulis dengan huruf besar@kapital.,IPS,Punctuation Error
Misalnya: peta pulau jawa dan peta asia tenggara.,Misalnya@ peta pulau jawa dan peta asia tenggara.,IPS,Punctuation Error
Skala peta adalah perbandingan antara jarak pada peta dengan jarak sebenarnya.,Skala peta adalah perbandingan antara jarak pada peta dengan jarak sebenarnya',IPS,Punctuation Error
"Perlu kamu ketahui bahwa berdasarkan skala, peta dibagi menjadi lima jenis.",Perlu kamu ketahui bahwa berdasarkan skala@ peta dibagi menjadi lima jenis.,IPS,Punctuation Error
"Peta kadaster, berskala 1 : 100 sampai 1 : 5.000.","Peta kadaster, berskala 1 : 100 sampai 1 : 5~000.",IPS,Punctuation Error
"Peta skala besar, berskala 1 : 5.000 sampai dengan 1 : 250.000.","Peta skala besar, berskala 1 ~ 5.000 sampai dengan 1 : 250.000.",IPS,Punctuation Error
"Peta skala sedang, berskala 1 : 250.000 sampai dengan 1 : 500.000.","Peta skala sedang, berskala 1 ~ 250.000 sampai dengan 1 : 500.000.",IPS,Punctuation Error
"Peta skala kecil, berskala 1 : 500.000 sampai dengan 1 : 1.000.000 .","Peta skala kecil, berskala 1 : 500[000 sampai dengan 1 : 1.000.000 .",IPS,Punctuation Error
"Peta geografi, berskala lebih dari 1 : 1.000.000.","Peta geografi, berskala lebih dari 1 : 1~000.000.",IPS,Punctuation Error
Untuk mengambarkan peta secara benar perlu digunakan skala.,Untuk mengambarkan peta secara benar perlu digunakan skala',IPS,Punctuation Error
"Skala dapat berupa angka, garis, atau keduanya.","Skala dapat berupa angka, garis, atau keduanya@",IPS,Punctuation Error
"Contohnya, 1 : 100.000 atau 100.000.","Contohnya, 1 : 100~000 atau 100.000.",IPS,Punctuation Error
Skala ini menunjukkan bahwa setiap satu satuan jarak pada peta sama dengan 100.000 satuan jarak sebenarnya.,Skala ini menunjukkan bahwa setiap satu satuan jarak pada peta sama dengan 100?000 satuan jarak sebenarnya.,IPS,Punctuation Error
Artinya 1 cm pada peta mewakili 1 km pada jarak sebenarnya di permukaan bumi.,Artinya 1 cm pada peta mewakili 1 km pada jarak sebenarnya di permukaan bumi',IPS,Punctuation Error
Penunjuk arah terdapat di bagian pinggir peta.,Penunjuk arah terdapat di bagian pinggir peta',IPS,Punctuation Error
Penunjuk arah diletakkan di tempat yang kosong agar tidak mengganggu peta utama.,Penunjuk arah diletakkan di tempat yang kosong agar tidak mengganggu peta utama',IPS,Punctuation Error
Penunjuk arah dapat berupa garis yang bagian atasnya runcing atau berupa panah.,Penunjuk arah dapat berupa garis yang bagian atasnya runcing atau berupa panah',IPS,Punctuation Error
Bisa juga berupa bentuk bintang.,Bisa juga berupa bentuk bintang',IPS,Punctuation Error
"Artinya, bagian atas menunjukkan arah utara, bagian bawah menunjukkan arah selatan, bagian kanan menunjukkan arah timur dan bagian kiri menunjukkan arah barat.","Artinya@ bagian atas menunjukkan arah utara, bagian bawah menunjukkan arah selatan, bagian kanan menunjukkan arah timur dan bagian kiri menunjukkan arah barat.",IPS,Punctuation Error
Garis tepi peta merupakan garis batas gambar peta.,Garis tepi peta merupakan garis batas gambar peta',IPS,Punctuation Error
Garis ini sekaligus sebagai tempat menuliskan letak astronomis (derajat garis bujur dan garis lintang).,Garis ini sekaligus sebagai tempat menuliskan letak astronomis (derajat garis bujur dan garis lintang)[,IPS,Punctuation Error
Derajat garis bujur dapat dilihat pada tepi peta sebelah atas dan bawah (horizontal).,Derajat garis bujur dapat dilihat pada tepi peta sebelah atas dan bawah (horizontal)[,IPS,Punctuation Error
Derajat garis lintang dapat dilihat pada bagian tepi peta sebelah kiri dan kanan (vertikal).,Derajat garis lintang dapat dilihat pada bagian tepi peta sebelah kiri dan kanan (vertikal)[,IPS,Punctuation Error
Keadaan setiap tempat di permukaan bumi berbeda-beda.,Keadaan setiap tempat di permukaan bumi berbeda?beda.,IPS,Punctuation Error
Tata warna bertujuan untuk memperjelas perbedaan itu.,Tata warna bertujuan untuk memperjelas perbedaan itu',IPS,Punctuation Error
Contoh tata warna pada peta adalah sebagai berikut.,Contoh tata warna pada peta adalah sebagai berikut',IPS,Punctuation Error
Legenda berisi keterangan tentang simbol-simbol yang digunakan pada peta.,Legenda berisi keterangan tentang simbol?simbol yang digunakan pada peta.,IPS,Punctuation Error
Legenda berfungsi untuk memudahkanmu membaca peta.,Legenda berfungsi untuk memudahkanmu membaca peta',IPS,Punctuation Error
Legenda dapat dilihat di sisi kanan atau kiri peta.,Legenda dapat dilihat di sisi kanan atau kiri peta',IPS,Punctuation Error
Legenda diletakkan pada tempat yang kosong di dalam garis peta.,Legenda diletakkan pada tempat yang kosong di dalam garis peta',IPS,Punctuation Error
Simbol yang digunakan dalam peta merupakan hasil kesepakatan bersama.,Simbol yang digunakan dalam peta merupakan hasil kesepakatan bersama',IPS,Punctuation Error
"Simbol peta dapat dikelompokkan menjadi tiga macam, yaitu simbol titik, simbol garis, dan simbol wilayah.","Simbol peta dapat dikelompokkan menjadi tiga macam@ yaitu simbol titik, simbol garis, dan simbol wilayah.",IPS,Punctuation Error
"Simbol titik, berfungsi menggambarkan kenampakan permukaan bumi yang sempit.",Simbol titik@ berfungsi menggambarkan kenampakan permukaan bumi yang sempit.,IPS,Punctuation Error
"Simbol garis, berfungsi menggambarkan unsur-unsur kenampakan permukaan bumi yang memanjang.","Simbol garis, berfungsi menggambarkan unsur-unsur kenampakan permukaan bumi yang memanjang@",IPS,Punctuation Error
"Simbol wilayah, menggambarkan kenampakan yang memiliki luas.",Simbol wilayah@ menggambarkan kenampakan yang memiliki luas.,IPS,Punctuation Error
Inset berupa peta kecil.,Inset berupa peta kecil',IPS,Punctuation Error
Inset merupakan peta tambahan dari peta utama yang disajikan.,Inset merupakan peta tambahan dari peta utama yang disajikan',IPS,Punctuation Error
Inset dibuat untuk mempermudah pengguna peta mengetahui letak wilayah tertentu dari peta yang disajikan.,Inset dibuat untuk mempermudah pengguna peta mengetahui letak wilayah tertentu dari peta yang disajikan',IPS,Punctuation Error
Inset terletak di sudut peta atau ruang yang kosong.,Inset terletak di sudut peta atau ruang yang kosong',IPS,Punctuation Error
"Nah, kamu sudah mengenal komponen-komponen peta secara lengkap.","Nah, kamu sudah mengenal komponen-komponen peta secara lengkap@",IPS,Punctuation Error
Sekarang buka peta wilayah provinsimu bacalah komponen yang ada di dalamnya.,Sekarang buka peta wilayah provinsimu bacalah komponen yang ada di dalamnya',IPS,Punctuation Error
Peta pertama kali dibuat oleh bangsa babilonia sekitar tahun 2300 sm.,Peta pertama kali dibuat oleh bangsa babilonia sekitar tahun 2300 sm',IPS,Punctuation Error
Ilmu yang secara khusus mempelajari peta disebut kartografi.,Ilmu yang secara khusus mempelajari peta disebut kartografi',IPS,Punctuation Error
Ahli pembuat peta disebut kartografer.,Ahli pembuat peta disebut kartografer',IPS,Punctuation Error
Sudahkah kamu memahami komponen-komponen peta dengan baik?,Sudahkah kamu memahami komponen>komponen peta dengan baik?,IPS,Punctuation Error
"Nah, sekarang mari belajar menggambar peta wilayah setempat lengkap dengan legenda dan simbol.",Nah@ sekarang mari belajar menggambar peta wilayah setempat lengkap dengan legenda dan simbol.,IPS,Punctuation Error
"Untuk menggambar peta, kamu perlu mempersiapkan alat-alat dan bahan berikut ini.","Untuk menggambar peta, kamu perlu mempersiapkan alat-alat dan bahan berikut ini@",IPS,Punctuation Error
"Selanjutnya, buatlah gambar peta wilayahmu dengan mengikuti langkah-langkah berikut ini.","Selanjutnya, buatlah gambar peta wilayahmu dengan mengikuti langkah-langkah berikut ini@",IPS,Punctuation Error
Bukalah atlasmu dan pilihlah peta (boleh difotokopi lebih dulu).,Bukalah atlasmu dan pilihlah peta (boleh difotokopi lebih dulu)[,IPS,Punctuation Error
Buatlah garis bantu tegak (horizontal) dan mendatar (vertikal).,Buatlah garis bantu tegak (horizontal~ dan mendatar (vertikal).,IPS,Punctuation Error
Buat dengan ukuran 1 cm x 1 cm.,Buat dengan ukuran 1 cm x 1 cm',IPS,Punctuation Error
Garislah secara tipis supaya mudah dihapus.,Garislah secara tipis supaya mudah dihapus',IPS,Punctuation Error
"Pada garis horizontal berilah angka 1, 2, 3, dan seterusnya.","Pada garis horizontal berilah angka 1@ 2, 3, dan seterusnya.",IPS,Punctuation Error
"Pada garis vertikal berilah huruf a, b, c, d, dan seterusnya.","Pada garis vertikal berilah huruf a} b, c, d, dan seterusnya.",IPS,Punctuation Error
Lakukan sampai semua gambar peta wilayahmu bergaris dan diberi nama.,Lakukan sampai semua gambar peta wilayahmu bergaris dan diberi nama',IPS,Punctuation Error
Buatlah garis pada kertas gambarmu dengan ukuran dan nama yang sama dengan peta asli.,Buatlah garis pada kertas gambarmu dengan ukuran dan nama yang sama dengan peta asli',IPS,Punctuation Error
Mulailah menggambar peta dengan mencontoh peta asli yang sudah diberi garis.,Mulailah menggambar peta dengan mencontoh peta asli yang sudah diberi garis',IPS,Punctuation Error
Garis-garis serta pemberian nomor itu akan memudahkan dalam menentukan letak suatu tempat.,Garis?garis serta pemberian nomor itu akan memudahkan dalam menentukan letak suatu tempat.,IPS,Punctuation Error
"Misalnya jalan, ibu kota, provinsi, kota, batas wilayah, sungai, danau, gunung, dan lain-lain.","Misalnya jalan@ ibu kota, provinsi, kota, batas wilayah, sungai, danau, gunung, dan lain-lain.",IPS,Punctuation Error
Berilah simbol dan legenda yang sesuai.,Berilah simbol dan legenda yang sesuai',IPS,Punctuation Error
Jangan lupa menulis skala peta.,Jangan lupa menulis skala peta',IPS,Punctuation Error
Warnailah peta yang sudah kamu gambar.,Warnailah peta yang sudah kamu gambar',IPS,Punctuation Error
Sesuaikan dengan warna pada peta asli.,Sesuaikan dengan warna pada peta asli',IPS,Punctuation Error
Sebagai contoh pegunungan dengan warna coklat.,Sebagai contoh pegunungan dengan warna coklat',IPS,Punctuation Error
Warna merah untuk batas wilayah.,Warna merah untuk batas wilayah',IPS,Punctuation Error
Warna kuning untuk dataran tinggi.,Warna kuning untuk dataran tinggi',IPS,Punctuation Error
Warna hijau untuk dataran rendah.,Warna hijau untuk dataran rendah',IPS,Punctuation Error
Dan warna biru untuk perairan.,Dan warna biru untuk perairan',IPS,Punctuation Error
Langkah terakhir yaitu menuliskan judul peta.,Langkah terakhir yaitu menuliskan judul peta',IPS,Punctuation Error
Selanjutnya hapuslah garis-garis bantu hingga bersih.,Selanjutnya hapuslah garis?garis bantu hingga bersih.,IPS,Punctuation Error
Lakukan dengan teliti supaya gambarmu indah.,Lakukan dengan teliti supaya gambarmu indah',IPS,Punctuation Error
"Bila sudah, mintalah gurumu mengoreksinya.",Bila sudah@ mintalah gurumu mengoreksinya.,IPS,Punctuation Error
Apabila sudah betul pasanglah peta itu di dinding kamarmu supaya semakin memahaminya.,Apabila sudah betul pasanglah peta itu di dinding kamarmu supaya semakin memahaminya',IPS,Punctuation Error
Cobalah menggambar peta pulau sulawesi di bawah ini.,Cobalah menggambar peta pulau sulawesi di bawah ini',IPS,Punctuation Error
Menggambar peta dengan garis-garis bantu.,Menggambar peta dengan garis?garis bantu.,IPS,Punctuation Error
Buatlah peta perjalananmu dari rumah ke sekolah!,Buatlah peta perjalananmu dari rumah ke sekolah(,IPS,Punctuation Error
Tuliskan nama-nama jalan yang kamu lalui bila ada!,Tuliskan nama?nama jalan yang kamu lalui bila ada!,IPS,Punctuation Error
Hitunglah berapa kira-kira jarak perjalananmu ke sekolah!,Hitunglah berapa kira?kira jarak perjalananmu ke sekolah!,IPS,Punctuation Error
Cobalah kamu perhatikan peta di dinding kelas!,Cobalah kamu perhatikan peta di dinding kelas(,IPS,Punctuation Error
Bandingkan dengan judul peta yang sama dalam atlasmu!,Bandingkan dengan judul peta yang sama dalam atlasmu(,IPS,Punctuation Error
"Bagaimana ukuran keduanya, berbeda bukan?",Bagaimana ukuran keduanya@ berbeda bukan?,IPS,Punctuation Error
Skala kedua peta itu pun juga berbeda.,Skala kedua peta itu pun juga berbeda',IPS,Punctuation Error
"Ya, peta dapat diperbesar dan diperkecil sesuai kepentingan atau kegunaan.",Ya@ peta dapat diperbesar dan diperkecil sesuai kepentingan atau kegunaan.,IPS,Punctuation Error
Memperbesar dan memperkecil peta harus memperhatikan skala.,Memperbesar dan memperkecil peta harus memperhatikan skala',IPS,Punctuation Error
Memperbesar atau memperkecil peta dapat dilakukan dengan tiga cara.,Memperbesar atau memperkecil peta dapat dilakukan dengan tiga cara',IPS,Punctuation Error
Cara ini dilakukan dengan memotret peta yang akan diperbesar atau diperkecil dengan diubah skalanya.,Cara ini dilakukan dengan memotret peta yang akan diperbesar atau diperkecil dengan diubah skalanya',IPS,Punctuation Error
Cara memperbesar dan memperkecil gambar peta dengan menggunakan pantograf.,Cara memperbesar dan memperkecil gambar peta dengan menggunakan pantograf',IPS,Punctuation Error
Cara ini dilakukan dengan menggunakan titik-titik koordinat.,Cara ini dilakukan dengan menggunakan titik?titik koordinat.,IPS,Punctuation Error
Kamu dapat memperbesar dan memperkecil peta dengan membuat dam.,Kamu dapat memperbesar dan memperkecil peta dengan membuat dam',IPS,Punctuation Error
Cara inilah yang dianggap paling sederhana.,Cara inilah yang dianggap paling sederhana',IPS,Punctuation Error
Marilah kita coba cara mengedam dengan mengikuti urutan berikut ini.,Marilah kita coba cara mengedam dengan mengikuti urutan berikut ini',IPS,Punctuation Error
Persiapkan peta yang skalanya akan diperbesar atau diperkecil.,Persiapkan peta yang skalanya akan diperbesar atau diperkecil',IPS,Punctuation Error
Buatlah garis bantu pada peta asli dengan jarak tertentu.,Buatlah garis bantu pada peta asli dengan jarak tertentu',IPS,Punctuation Error
Sesuaikan dengan ukuran yang kamu inginkan.,Sesuaikan dengan ukuran yang kamu inginkan',IPS,Punctuation Error
"Misalnya 1 cm, 2 cm, 3 cm, dan seterusnya.","Misalnya 1 cm@ 2 cm, 3 cm, dan seterusnya.",IPS,Punctuation Error
Siapkan juga kertas gambar.,Siapkan juga kertas gambar',IPS,Punctuation Error
Buatlah garis bantu sesuai ukuran yang kamu inginkan.,Buatlah garis bantu sesuai ukuran yang kamu inginkan',IPS,Punctuation Error
"Apabila kamu ingin memperbesar gambar peta, buat ukuran garis bantu yang lebih besar dari garis bantu pada peta asli.",Apabila kamu ingin memperbesar gambar peta@ buat ukuran garis bantu yang lebih besar dari garis bantu pada peta asli.,IPS,Punctuation Error
"Demikian pula sebaliknya, bila ingin memperkecil peta buatlah ukuran garis bantu lebih kecil daripada garis bantu pada peta asli.",Demikian pula sebaliknya@ bila ingin memperkecil peta buatlah ukuran garis bantu lebih kecil daripada garis bantu pada peta asli.,IPS,Punctuation Error
"Bila telah selesai membuat garis bantu, mulailah menggambar peta.",Bila telah selesai membuat garis bantu@ mulailah menggambar peta.,IPS,Punctuation Error
Sesuaikan dengan gambar aslinya.,Sesuaikan dengan gambar aslinya',IPS,Punctuation Error
Jangan lupa menuliskan skala peta.,Jangan lupa menuliskan skala peta',IPS,Punctuation Error
Kamu akan memperbesar peta pulau bali dua kali dari peta asli.,Kamu akan memperbesar peta pulau bali dua kali dari peta asli',IPS,Punctuation Error
Terlebih dahulu buatlah garis bantu vertikal dan horizontal pada peta asli.,Terlebih dahulu buatlah garis bantu vertikal dan horizontal pada peta asli',IPS,Punctuation Error
Buat garis dengan jarak 1 cm.,Buat garis dengan jarak 1 cm',IPS,Punctuation Error
Ingat kamu akan memperbesar dua kalinya.,Ingat kamu akan memperbesar dua kalinya',IPS,Punctuation Error
"Oleh karena itu, buat garis bantu pada kertas gambar dengan jarak 2 cm.",Oleh karena itu@ buat garis bantu pada kertas gambar dengan jarak 2 cm.,IPS,Punctuation Error
"Bila telah selesai, mulailah mengambar peta pulau bali pada kertas gambar.",Bila telah selesai@ mulailah mengambar peta pulau bali pada kertas gambar.,IPS,Punctuation Error
"Bila peta pulau bali dengan skala 1 : 900.000 diperbesar dua kali, maka skalanya menjadi 1 : (900.000/2) = 1 : 450.000.","Bila peta pulau bali dengan skala 1 : 900.000 diperbesar dua kali, maka skalanya menjadi 1 : (900.000_2) = 1 : 450.000.",IPS,Punctuation Error
Lihat peta yang sudah diperbesar pada gambar 1.4.,Lihat peta yang sudah diperbesar pada gambar 1?4.,IPS,Punctuation Error
Buat garis bantu pada peta asli dengan jarak sesuai yang kamu inginkan.,Buat garis bantu pada peta asli dengan jarak sesuai yang kamu inginkan',IPS,Punctuation Error
Misalnya dengan ukuran 2 cm.,Misalnya dengan ukuran 2 cm',IPS,Punctuation Error
Mulailah menggambar peta pulau bali pada kertas gambar.,Mulailah menggambar peta pulau bali pada kertas gambar',IPS,Punctuation Error
Lihat peta yang sudah diperkecil pada gambar 1.5.,Lihat peta yang sudah diperkecil pada gambar 1?5.,IPS,Punctuation Error
Sudahkah kamu temukan letak kota tempat tinggalmu dalam atlas?,Sudahkah kamu temukan letak kota tempat tinggalmu dalam atlas',IPS,Punctuation Error
"Bila sudah, coba carilah letak tempat tinggal saudaramu yang berada di luar kota!",Bila sudah@ coba carilah letak tempat tinggal saudaramu yang berada di luar kota!,IPS,Punctuation Error
Untuk menemukan letak suatu tempat dalam atlas bukanlah hal yang sulit.,Untuk menemukan letak suatu tempat dalam atlas bukanlah hal yang sulit',IPS,Punctuation Error
"Kamu pasti bertanya, bagaimana mungkin padahal dalam sebuah atlas terdapat banyak sekali judul peta.",Kamu pasti bertanya@ bagaimana mungkin padahal dalam sebuah atlas terdapat banyak sekali judul peta.,IPS,Punctuation Error
Lantas bagaimana caranya?,Lantas bagaimana caranya',IPS,Punctuation Error
"Memang, di dalam atlas terdapat banyak peta wilayah dengan komponen yang beragam.",Memang@ di dalam atlas terdapat banyak peta wilayah dengan komponen yang beragam.,IPS,Punctuation Error
Akan tetapi dengan bantuan daftar indeks kamu akan mudah menemukan tempat yang kamu cari.,Akan tetapi dengan bantuan daftar indeks kamu akan mudah menemukan tempat yang kamu cari',IPS,Punctuation Error
Daftar indeks adalah daftar yang berisi kata atau istilah penting yang terdapat dalam atlas.,Daftar indeks adalah daftar yang berisi kata atau istilah penting yang terdapat dalam atlas',IPS,Punctuation Error
Daftar indeks berguna untuk mempermudah pencarian letak suatu tempat.,Daftar indeks berguna untuk mempermudah pencarian letak suatu tempat',IPS,Punctuation Error
Daftar indeks dapat kamu temukan pada bagian akhir atlas.,Daftar indeks dapat kamu temukan pada bagian akhir atlas',IPS,Punctuation Error
Daftar indeks disusun dalam beberapa kolom secara urut sesuai abjad.,Daftar indeks disusun dalam beberapa kolom secara urut sesuai abjad',IPS,Punctuation Error
Daftar indeks dibuat berdasarkan kolom dan baris.,Daftar indeks dibuat berdasarkan kolom dan baris',IPS,Punctuation Error
Kolom pada daftar indeks ditandai dengan huruf.,Kolom pada daftar indeks ditandai dengan huruf',IPS,Punctuation Error
Baris ditandai dengan angka.,Baris ditandai dengan angka',IPS,Punctuation Error
Bagian a - g menunjukkan kolom sedangkan 1-5 menunjukkan baris.,Bagian a - g menunjukkan kolom sedangkan 1-5 menunjukkan baris?,IPS,Punctuation Error
Tahukah kamu di mana letak e3?,Tahukah kamu di mana letak e3',IPS,Punctuation Error
"Sekarang, cobalah mencari arti jakarta 21 b2 dari daftar indeks!",Sekarang@ cobalah mencari arti jakarta 21 b2 dari daftar indeks!,IPS,Punctuation Error
Marilah kita mencocokkan arti daftar indeks tersebut.,Marilah kita mencocokkan arti daftar indeks tersebut',IPS,Punctuation Error
"Untuk lebih jelasnya, perhatikan peta di bawah ini!",Untuk lebih jelasnya@ perhatikan peta di bawah ini!,IPS,Punctuation Error
"Artinya, kamu harus membuka atlas halaman 21.",Artinya@ kamu harus membuka atlas halaman 21.,IPS,Punctuation Error
"Kota jakarta terletak di kolom b, baris 2.",Kota jakarta terletak di kolom b@ baris 2.,IPS,Punctuation Error
Penulisan indeks dapat berbeda antara satu atlas dengan atlas lainnya.,Penulisan indeks dapat berbeda antara satu atlas dengan atlas lainnya',IPS,Punctuation Error
"Untuk itu, pahami lebih dahulu petunjuk panggunaan indeks secara benar.",Untuk itu@ pahami lebih dahulu petunjuk panggunaan indeks secara benar.,IPS,Punctuation Error
Mari mengasah otak dengan bermain teka-teki silang!,Mari mengasah otak dengan bermain teka?teki silang!,IPS,Punctuation Error
Salinlah kotak teka-teki silang di bawah ini di buku tugasmu!,Salinlah kotak teka?teki silang di bawah ini di buku tugasmu!,IPS,Punctuation Error
Mari menggambar peta dalam kertas gambar.,Mari menggambar peta dalam kertas gambar',IPS,Punctuation Error
Buat peta sederhana situasi di dalam ruangan kelasmu.,Buat peta sederhana situasi di dalam ruangan kelasmu',IPS,Punctuation Error
Perhatikan petunjuk berikut ini!,Perhatikan petunjuk berikut ini(,IPS,Punctuation Error
Buatlah peta dengan skala 1 : 100.,Buatlah peta dengan skala 1 @ 100.,IPS,Punctuation Error
"Buatlah denah tempat duduk dan meja teman-teman sekelasmu, serta meja dan tempat duduk guru.","Buatlah denah tempat duduk dan meja teman-teman sekelasmu, serta meja dan tempat duduk guru@",IPS,Punctuation Error
Cantumkan nama-nama temanmu pada masing-masing tempat duduk tersebut.,Cantumkan nama-nama temanmu pada masing-masing tempat duduk tersebut?,IPS,Punctuation Error
Beri penunjuk arah agar mudah dimengerti.,Beri penunjuk arah agar mudah dimengerti',IPS,Punctuation Error
Kumpulkan peta yang telah kamu buat kepada gurumu.,Kumpulkan peta yang telah kamu buat kepada gurumu',IPS,Punctuation Error
Peta adalah gambar permukaan bumi dengan menggunakan skala tertentu pada bidang datar.,Peta adalah gambar permukaan bumi dengan menggunakan skala tertentu pada bidang datar',IPS,Punctuation Error
Peta umum yaitu peta yang memuat berbagai informasi kenampakan muka bumi dan memberikan gambaran sesungguhnya.,Peta umum yaitu peta yang memuat berbagai informasi kenampakan muka bumi dan memberikan gambaran sesungguhnya',IPS,Punctuation Error
Peta khusus (peta tematik) yaitu peta yang menunjukkan kenampakan tertentu.,Peta khusus (peta tematik) yaitu peta yang menunjukkan kenampakan tertentu[,IPS,Punctuation Error
Atlas adalah kumpulan beberapa peta yang dibukukan.,Atlas adalah kumpulan beberapa peta yang dibukukan',IPS,Punctuation Error
Globe adalah tiruan bumi yang paling sesuai dengan aslinya.,Globe adalah tiruan bumi yang paling sesuai dengan aslinya',IPS,Punctuation Error
Daftar indeks adalah daftar yang berisi kata atau istilah penting yang terdapat dalam atlas untuk mempermudah pencarian letak suatu tempat.,Daftar indeks adalah daftar yang berisi kata atau istilah penting yang terdapat dalam atlas untuk mempermudah pencarian letak suatu tempat',IPS,Punctuation Error
Mari memilih jawaban yang paling tepat.,Mari memilih jawaban yang paling tepat',IPS,Punctuation Error
Mari menjawab pertanyaan-pertanyaan di bawah ini.,Mari menjawab pertanyaan?pertanyaan di bawah ini.,IPS,Punctuation Error
Jelaskan arti malang 13 c4!,Jelaskan arti malang 13 c4(,IPS,Punctuation Error
Sebutkan manfaat peta secara umum!,Sebutkan manfaat peta secara umum(,IPS,Punctuation Error
Gambarlah lima contoh simbol-simbol dalam peta dan artinya!,Gambarlah lima contoh simbol?simbol dalam peta dan artinya!,IPS,Punctuation Error
Jarak sebenarnya antara kota jakarta dengan surabaya 1.060 km.,Jarak sebenarnya antara kota jakarta dengan surabaya 1?060 km.,IPS,Punctuation Error
"Jika skala yang digunakan 1 : 100, berapakah jarak jakarta dan surabaya pada peta!","Jika skala yang digunakan 1 : 100, berapakah jarak jakarta dan surabaya pada peta[",IPS,Punctuation Error
Gambarlah arah mata angin dan artinya!,Gambarlah arah mata angin dan artinya(,IPS,Punctuation Error
Apa yang akan kita pelajari?,Apa yang akan kita pelajari',IPS,Punctuation Error
"Kawan-kawan, negara kita sangat luas dan mempunyai keanekaragaman kenampakan alam dari ujung sumatra sampai papua.","Kawan-kawan, negara kita sangat luas dan mempunyai keanekaragaman kenampakan alam dari ujung sumatra sampai papua@",IPS,Punctuation Error
"Sekarang, marilah kita mempelajari keanekaragaman tersebut serta hubungannya dengan keragaman sosial dan budaya masyarakat.",Sekarang@ marilah kita mempelajari keanekaragaman tersebut serta hubungannya dengan keragaman sosial dan budaya masyarakat.,IPS,Punctuation Error
"Kawan-kawan, manakah tempat yang ingin kamu kunjungi saat liburan?","Kawan-kawan, manakah tempat yang ingin kamu kunjungi saat liburan@",IPS,Punctuation Error
Adakah di antara kamu yang ingin ke pantai?,Adakah di antara kamu yang ingin ke pantai',IPS,Punctuation Error
Ataukah kamu ingin ke pegunungan?,Ataukah kamu ingin ke pegunungan',IPS,Punctuation Error
"Ya, keduanya memang sangat menarik untuk dikunjungi.",Ya@ keduanya memang sangat menarik untuk dikunjungi.,IPS,Punctuation Error
Bersyukurlah kepada tuhan karena kita masih bisa menikmati keindahan panorama alam.,Bersyukurlah kepada tuhan karena kita masih bisa menikmati keindahan panorama alam',IPS,Punctuation Error
Bentuk-bentuk permukaan bumi yang membentang luas yang kamu lihat itulah yang dinamakan kenampakan alam.,Bentuk?bentuk permukaan bumi yang membentang luas yang kamu lihat itulah yang dinamakan kenampakan alam.,IPS,Punctuation Error
Kenampakan alam disebut juga bentang alam.,Kenampakan alam disebut juga bentang alam',IPS,Punctuation Error
Kenampakan alam di setiap wilayah berbeda-beda.,Kenampakan alam di setiap wilayah berbeda?beda.,IPS,Punctuation Error
Setiap wilayah memiliki ciri khas masing-masing.,Setiap wilayah memiliki ciri khas masing?masing.,IPS,Punctuation Error
Hal ini disebabkan bentuk kenampakan atau bentang alam di muka bumi tidak rata.,Hal ini disebabkan bentuk kenampakan atau bentang alam di muka bumi tidak rata',IPS,Punctuation Error
Bentuk kenampakan alam di muka bumi terdiri atas bentuk muka bumi daratan dan muka bumi perairan.,Bentuk kenampakan alam di muka bumi terdiri atas bentuk muka bumi daratan dan muka bumi perairan',IPS,Punctuation Error
Apa yang kamu ketahui tentang muka bumi daratan dan muka bumi perairan?,Apa yang kamu ketahui tentang muka bumi daratan dan muka bumi perairan',IPS,Punctuation Error
Kawan-kawan tentu pernah melihat gunung dan pegunungan.,Kawan?kawan tentu pernah melihat gunung dan pegunungan.,IPS,Punctuation Error
Itu semua merupakan bentuk muka bumi daratan.,Itu semua merupakan bentuk muka bumi daratan',IPS,Punctuation Error
Muka bumi daratan terdiri atas muka bumi daratan yang luas dan muka bumi daratan yang sempit.,Muka bumi daratan terdiri atas muka bumi daratan yang luas dan muka bumi daratan yang sempit',IPS,Punctuation Error
Muka bumi daratan yang luas dinamakan benua.,Muka bumi daratan yang luas dinamakan benua',IPS,Punctuation Error
"Bumi yang kita tempati ini terbagi atas enam benua yaitu asia, australia, amerika, afrika, eropa, dan antartika.","Bumi yang kita tempati ini terbagi atas enam benua yaitu asia} australia, amerika, afrika, eropa, dan antartika.",IPS,Punctuation Error
Sementara bentuk muka bumi daratan yang lebih sempit dinamakan pulau.,Sementara bentuk muka bumi daratan yang lebih sempit dinamakan pulau',IPS,Punctuation Error
Kenampakan muka bumi daratan memiliki berbagai bentuk relief.,Kenampakan muka bumi daratan memiliki berbagai bentuk relief',IPS,Punctuation Error
"Selain gunung dan pegunungan, juga berupa dataran tinggi, dataran rendah, dan sebagainya.","Selain gunung dan pegunungan@ juga berupa dataran tinggi, dataran rendah, dan sebagainya.",IPS,Punctuation Error
Adapun muka bumi perairan terbagi menjadi perairan air asin dan perairan air tawar.,Adapun muka bumi perairan terbagi menjadi perairan air asin dan perairan air tawar',IPS,Punctuation Error
"Perairan air asin meliputi samudra, laut, dan selat.","Perairan air asin meliputi samudra, laut, dan selat@",IPS,Punctuation Error
